Date/Time,Word Count,en,ru
2023.09.16-23.23.21,56,56,0
2023.09.16-23.28.29,60,60,48
2023.09.16-23.57.33,60,60,55
2023.09.16-23.59.15,58,58,55
2023.09.17-00.00.19,56,56,56
2023.09.17-10.45.49,61,61,53
2023.09.17-11.29.51,63,63,61
2023.09.17-11.30.27,63,63,63
2023.09.17-22.10.20,69,69,59
2023.09.17-22.11.20,69,69,68
2023.09.20-23.29.58,74,74,58
2023.09.20-23.31.52,74,74,72
2023.09.20-23.32.38,97,97,72
2023.09.20-23.35.03,97,97,92
2023.09.20-23.57.45,97,97,97
2023.09.22-20.02.46,95,95,83
2023.09.22-20.04.16,95,95,95
2023.09.23-00.02.21,113,113,93
2023.09.23-00.04.56,113,113,113
2023.09.25-17.11.03,180,180,108
2023.09.25-17.14.19,180,180,180
2023.09.27-18.22.18,199,199,179
2023.09.27-18.23.47,199,199,199
2023.09.27-18.53.25,197,197,189
2023.09.27-18.55.02,197,197,197
2023.09.28-23.52.44,240,240,194
2023.09.28-23.55.05,240,240,240
